id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
1006,luetic,syphilitis-related,luético,sifilítico,luetisk,syfilitisk,luetisch,Syphillis bedingt,luético,sifilítico,luétique,relatif à la syphilis,luetico,causato da sifilide,luetisch,door de geslachtsziekte veroorzaakt
1007,lumbago,lumbago,lumbago,dor na parte inferior da coluna vertebral,lumbago,lumbago,Lumbago,Hexenschuß,lumbago,dolor en la parte inferior de la columna vertebral,lumbago,lumbago,lombaggine,mal di schiena,lumbago,spit
1008,lumbar,lumbar,lombar,relacionado com a parte inferior da coluna vertebral,lumbal,lænde-,lumbal,die Lende betreffend,lumbar,relacionado con la parte inferior de la columna vertebral,lombaire,du dos,lombare,che riguarda la parte bassa della schiena,lumbaal,met betrekking tot de lende
1009,lumen,inside of a tube,lúmen,cavidade ou canal dentro de um órgão em forma de tubo,lumen,det indvendige af rør eller rørformig dannelse,Lumen,lichte Weite eines Hohlorgans,lumen,cavidad o canal dentro de un órgano en forma de tubo,lume,luce,lumen,natuurlijke holte
1010,luxation,dislocation,luxação,deslocação dos ossos de uma articulação,luksation,varig forvridning af led,Luxation,Verrenkung,luxación,desplazamiento de los huesos de una articulación,luxation,déboîtement;luxation,lussazione,spostamento,luxatie,ontwrichting
1011,lymphadenopathy,lymph node disease,linfadenopatia,tumefacção de um ou mais gânglios linfáticos,lymphadenopathia,lymfeknudesvulst,Lymphadenopathie,Erkrankung der Lymphknoten,linfadenopatía,tumefacción de uno o más ganglios linfáticos,lymphadénopathie,maladie des ganglions lymphatiques,linfadenopatia,malattia dei nodi linfatici,lymfadenopathie,afwijking van de lymfklieren
1012,lymphangitis,lymphatic vessel inflammation,linfangite,angioleucite;inflamação dos vasos linfáticos,lymphangitis,lymfekarbetændelse,Lymphangitis,Lymphgefäßentzündung,linfangitis,inflamación de los vasos linfáticos,lymphangite,inflammation des vaisseaux lymphatiques,linfangite,infiammazione di un vaso,lymphangitis,ontsteking van de lymfvaten
1013,lymphocytic,white blood cell-related,linfocítico,relativo aos linfócitos;células com núcleo redondo,lymphocytisk,hørende til lymphocyter,lymphozytär,Lymphozuten betreffend,linfocitario,que concierne a los linfocitos;células con núcleo redondo,lymphocytaire,relatif aux lymphocytes,linfocitico,che riguarda un linfocito,lymfocytair,met betrekking tot witte bloedlichaampjes
1014,lymphoma,cancer,linfoma,tumor maligno gerado no tecido linfóide,lymphom,svulst af bygning som lymfekirtelvæv,Lymphom,Lymphknotenschwellung,linfoma,tumor maligno originado en el tejido linfoide,lymphome,tumeur cacéreuse causée par la prolifération du tissu lymphoïde,linfoma,tumefazione da infiammazione cronica,lymfoom,lymfkliergezwel
1015,lyophilisate,freeze-dry,produto liofilizado,produto preparado mediante congelação e desidratação,lyofilisat,produkt af frysetørring,lyophilisieren,gefreirtrocknen,producto liofilizado,producto preparado mediante congelación y deshidratación,produit lyophilisé,obtenu par lyophilisation,liofilizzare,liofilizzare,lyofilisaat,resultaat van vriesdroging
1016,lytic,cell destruction-related,lítico,relativo à pedra;que rompe;que influi na destruição da célula,lytisk,opløsende,lytisch,1. allmähliche Abklingen eines Krankheitsgeschehens,lítico,que concierne o influye en la destrucción de la célula,lytique,relatif à;provoquant la destruction de tissus;de cellules,litico,sostanza che distrugge cellule o micro-organismi,lytisch,oplossend
1017,maceration,soaking,maceração,empolamento por contacto com líquidos;extracção de drogas por humedecimento;extracção a frio,maceration,fugtig opløsning af væv,Mazeration,Aufquellung bzw. Erweichung von Geweben,maceración,hinchazón o ablandamiento por contacto con líquidos;extracción de drogas mediante humedecimiento;extracción en frío,macération,dissolution par trempage à froiddécomposition,macerazione,macerazione,maceratie,verweking
1018,macule,small;flat spot,mácula,sinal;mancha;cicatriz;estigma,macula,plet,Makula,kleiner Fleck,mácula,mancha en la retina;mancha,macule,tache cutanée,macula,zona centrale,macula,vlek
1019,maculopapular,small spot-related,maculopapular,consistente em manchas e pápulas;borbulhas,maculopapulær,knudret plet,makulopulös,flecken- und knötchenförmig,maculopapular,consistente en manchas y pápulas,maculo-papuleux,caractérisé par la présence de macules et de papules,maculopapula,eruzione,maculopapuleus,met vlekken gepaard
1020,malabsorption,poor digestion,mal-absorção,transtorno da absorção intestinal de nutrientes,malabsorption,nedsat optagelse af næringsstoffer fra tarmen,Malabsorption,ungenügende Nahrungsaufnahme aus dem Verdauungstrakt,malabsorción,trastorno de la absorción intestinal de nutrientes,malabsorption,trouble du processus d'absorption,malassorbimento,cattivo assorbimento,malabsorptie,gebrekkige opname van voedingsstoffen
1021,malaise,vague illness,indisposição,mal-estar,utilpashed,utilpashed,Malaise,Mißstimmung,malestar,malestar,malaise,malaise,indisposizione,malessere,malaise,gevoel van onwelzijn
1022,malformation,malformation,malformação,deformação,malformation,misdannelse,Mißbildung; Malformation,Mißbildung,malformación,malformación,malformation,malformation,malformazione,malformazione,malformatie,misvorming
1023,malignant,malignant,maligno,ruim;de evolução fatal,malign,ondartet,maligne,bösartig,maligno,pernicioso;de evolución fatal,malin,non bénin,maligno,maligno,maligne,kwaadaardig
1024,mammary,breast-related,mamário,relativo à mama,mammær,bryst-,mamillarisch,zur Brust gehörend,mamario,relativo a la mama,mammaire,qui se rapporte au sein,mammario,della mammella,mammair,met betrekking tot de vrouwelijke borstklier
1025,mania,mania,mania,delírio maníaco;delírio furioso,mani,mani;unormal opstemthed og uro,Manie,Zustand mit Antriebssteigerung und gehobener Stimmung,manía,manía,psychose,maladie mentale aiguë,psicosi,malattia psichica,manie,ziekelijke neiging
1026,manic,manic,maníaco,relativo a uma mania,manisk,unormalt opstemt,manisch,zur Manie gehôrig,maníaco,relativo a una manía,maniaque,qui se rapporte à la manieest atteint de manie,maniaco,malato mentale,manisch,ziekelijk aangelegd
1027,manifest,visible,manifesto,visível,manifest,tydelig,manifest,erkennbar,manifiesto,ostensible,manifeste,manifeste,manifesto,manifesto,manifest,onmiddellijk herkenbaar
1028,manifestation,sign,manifestação,exteriorização de uma doença,manifestation,tegn,Manifestation,Erkennarwerden einer Krankheit,manifestación,exteriorización de una enfermedad,manifestation,manifestation,manifestazione,manifestazione,manifestatie,waarneembaar verschijnsel
1029,massage,massage,massagem,massagem,massage,massage,Massage,Massage,masaje,masaje,massage,massage,massaggio,massaggio,massage,manuele behandeling
1030,massive,solid,maciço,grande;amplo,massiv,massiv,massiv,massiv,masivo,grande;amplio,massif,massif,massivo,massiccio,massief,sterk
1031,masticatory,chewing-related,mastigatório,que afecta os músculos da mastigação;que deve mastigar-se,mastikatorisk,tygge-,mastikatorisch,den Kaumuskel betreffend,masticatorio,que afecta a los músculos de la masticación;que debe masticarse,masticateurmasticatoire,qui sert à la mastication,masticatorio,masticatorio,masticatoir,met betrekking tot het kauwen
1032,mastitis,sore breasts,mastite,mamite;inflamação dos peitos,mastitis,brystbetændelse,Mastitis,Entzündung der weibl. Brustdrüse,mastitis,inflamación de la glándula mamaria,mastitemammite,inflammation de la glande mammaire,mastite,infiammazione della ghiandola della mammella,mastitis,ontsteking van de borstklier
1033,mastocyte,connective tissue cell,mastócito,célula de Mast,mastcelle,stor kornholdig celle;som findes i store mængder i bindevæv og granulationsvæv,Mastozyt,Mastzelle,mastocito,célula de Mast,mastocyte,catégorie de cellule jouant un rôle important dans les réactions allergiques,mastocito,cellula della mammella,mastocyt,mestcel
1034,mastodynia,breat pain,mastodinia,dor nos peitos,mastodyni,smerter i brystkirtlerne,Mastodynie,Schmerzhaftigkeit der geschwollenen;weibl. Brust,mastodinia,dolor de la mama,mastodynie,tension douloureuse des seins,mastodinia,dolore pungente ad una o ambedue le mammelle,mastodynie,pijn in de borstklier
1035,mastoiditis,ear infection,mastoidite,inflamação da apófise mastóide no ouvido,mastoiditis,betændelse i de små luftfyldte hulrum i knoglen bag øret,Mastoiditis,eitrige Entzündung des Warzenfortsatzes,mastoiditis,inflamación de la apófisis mastoides;en el oído,mastoïdite,inflammation et infection de l'os mastoïde,mastoidite,infiammazione dell'osso dietro l'orecchio,mastoiditis,ontsteking van het slaapbeen
1036,maxillary,face bone-related,maxilar,relativo aos ossos da cara onde se encontram fixados os dentes,maxillaris,vedrørende overkæben,maxillar,zum Oberkiefer gehörend;ihn betreffend,maxilar,realativo a los huesos de la cara donde se encuentran fijados los dientes,maxillaire,relatif à;de la mâchoire,mascellare,mascellare,maxillair,met betrekking tot de bovenkaak
1037,maximal,maximal,máximo,máximo,maksimal,maksimal,maximal,maximal,máximo,efecto o cantidad mayores que pueden lograrse,maximal,maximal,massimale,massimo,maximaal,het grootst mogelijk
1038,maximum,maximum,máximo,máximo;limite superior,maksimum,maksimum,Maximum,Maximum,máximo,acmé de un proceso o una enfermedad,massimo,massimo,maximum,grootst mogelijke hoeveelheid
1039,mechanism,mechanism,mecanismo,maquinismo;órgão;artifício;dispositivo,mekanisme,mekanisme,Mechanismus,Mechanismus,mecanismo,mecanismo,mécanisme,mécanisme,meccanismo,meccanismo,mechanisme,samenstel van bewegende delen
1040,median,average,mediano,médio,medianværdi,medianværdi,median,mittlerer,medial,situado hacia el centro;psiquiatr.: referente a un medium,médian,qui est au milieu,mediano,nella media;intermedio;medio,mediaan,op de middellijn
1041,mediate,indirect,mediar,mediar;interpor,middelbar,indirekte,mittelbar,indirekt,mediar,mediar,médiat,indirect,mediare,mediare,mediëren,bemiddelen
1042,mediator,mediator,mediador,intermediário;substância química que transmite algo,mellemled,mellemled,Mediator,Überträgerstoff,mediador,sustancia química que transmite algo,médiateur,médiateur,mediatore,che fa da tramite,mediator,hulpmiddel
1043,medical,medical,médico,medical;medicinal,medicinsk,medicinsk,medizinisch,medizinisch,médico,médico,médical,médical,medico,medico,medisch,geneeskundig
1044,medicament,medicine,medicamento,remédio;medicina,medikament,medikament,Medikament,Medikament,medicamento,medicamento,médicament,médicament,medicamento,medicamento,medicament,medicijn
1045,medication,medication,medicação,medicamentação;aplicação de medicamentos,medicinsk behandling eller præparering,medicinsk behandling eller præparering,Medikation,Arzneimittelverordnung,medicación,prescripción o aplicación de medicamentos,médication,médication,medicazione,medicazione,medicatie,voorschrijven van geneesmiddelen
1046,medicinal,medicinal,medicinal,medical;médico;que tem qualidades curativas,medicinsk,lægelig,medizinal,heilend,medicinal,que tiene cualidades curativas;relativo a una medicina o a la curación,médicinalmédicamenteux,qui a des propriétés thérapeutiques,medicinale,medicinale,medicinaal,geneeskrachtig
1047,medullary,marrow-related,medular,relativo à medula de qualquer tipo,medullær,marv-,medullär,markig,medular,relativo a la médula de cualquier tipo,médullaire,relatif à la moelle osseunseépinière,midollare,del midollo,medullair,mergachtig
1048,megacolon,colon enlargement,megacolo,megalócon;cólon anormalmente dilatado;doença de Hirschsprung,megacolon,tyktarmslidelse med svær forstoppelse,Megakolon,Weitstellung des Dickdarms,megacolon,colon anormalmente grande o dilatado,mégacôlonmacrocôlon,dilatation du gros côlon,megacolon,vasta dilatazione del colon con ristagno fecale,megacolon,vergrote karteldarm
1049,megaloblastic,large abnormal red blood cell,megaloblástico,megaloblástico,megaloblast,stort;umodent forstadie til de røde blodlegemer i den røde knoglemarv,megaloblastisch,abnorm große;kernhaltige Vorstufe der roten Blutkörper-,,,mégaloblastique,dû aux 'cellules de grande taille présentes dans la moelle osseuse',megaloblastico,grande;anormale cellula rossa nel sangue,megaloblastair,met vergrote moedercellen in de rode bloedlichaampjes
1050,melaena,dark;blood-stained stools or vomit,melena,fezes negras pela presença de sangue,melæna,blodfyldt afføring,Melaena,Teerstuhl,melena,excremento oscuro conteniendo sangre;vómitos negros,mélaena,évacuation de selles très foncées;contenant du sang digéré,melena,emissione di feci di colore scuro perché miste a sangue,melaena,zwarte stoelgang
1051,melanoma,skin cancer,melanona,tumor pigmentado;geralmente maligno;da pele ou das mucosas,melanom,melanom;pigmenteret svulst,Melanom,Geschwulstbildungen der HautSchleimhäute,melanoma,tumor;generalmente maligno;de la piel o las mucosas,mélanome,tumeur  de la peau,melanoma,tumore benigno o maligno della cute,melanoom,ontaarde moedervlek
1052,melanosis,abnormal pigmentation,melanose,coloração obscura superficial da pele ou das mucosas,melanose,mørkpigmentering af huden,Melanose,Dunkelfärbung der Haut oder Schleimhaut,melanosis,coloración oscura superficial de la piel o las mucosas,mélanose,accumulation anormale de pigment brun foncé dans la peau,melanosi,aumento della colorazione della pelle,melanose,donkere verkleuring
1053,membrane,membrane,membrana,membrana,membran,hinde,Membran,dünnes Häutchen,membrana,membrana,membrane,enveloppe qui couvre le corps;entoure un organe;...,membrana,parete;strato di tessuto,membraan,dun vlies
1054,menarche,first period,menarca,primeira menstruação,menarche,den første menstruation,Menarche,Zeitraum;in dem die erste Monatsblutung stattfindet,menarquía,fecha de la primera menstruación,ménarcheménarque,apparition des premières règles,menarca,inizio della funzione della mestruzione,menarche,eerste maandstonden
1055,meningitis,meningitis,meningite,inflamação das meninges,meningitis,hjernehindebetændelse,Meningitis,Entzündung der harten und weichen Hirnhaut,meningitis,inflamación de las meninges,méningite,inflammation des méninges,meningite,infiammazione delle meningi,meningitis,hersenvliesontsteking
1056,menopause,menopause,menopausa,cessação da menstruação na mulher,menopause,menopause;ophør af kvindens menstruation;indtræder oftest i 50 års alderen,Menopause,Zeitpunkt der letzten Menstruation,menopausia,cesación de la menstruación en la mujer,ménopause,ménopause,menopausa,menopausa,menopauze,overgangsjaren
1057,menorrhagia,heavy periods,menorragia,excesso de fluxo de sangue na menstruação,menoragi,kraftige menstruationsblødninger med normale intervaller,Menorrhagie,verlängerte und verstärkte Menstruationsblutung,menorragia,menstruación anormalmente prolongada y aumentada,ménorragie,règles anormalement abondantes et longues,menorragia,eccessivo sanguinamento dall'utero,menorragie,hevige maandstonden
1058,menstruation,periods,menstruação,regras,menstruatio,menstruation,Menstruation,Menstruation,menstruación,regla,menstruation,règles,mestruazione,mestruazione,menstruatie,maandstonden
1059,mental,mental,mental,psíquico,mental,mentalvedrørende hagen,mental,1. den Geist betreffend 2. das Kinn betreffend,mental,relacionado con la mente;relacionado con el mentón,1) mental - 2) mentonnier,1) de l'esprit;de l'intelligence - 2) du menton,mentale,mentale,mentaal,verstandelijk
1060,mesenteric,involving the skin attaching various organs to the body,mesentérico,relativo ao mesentério;membrana que contém os vasos sanguíneos mesentéricos,mesenterialmesenteriet,tarmkråset;bindevæv som fasthæfter tarme og andre bugorganer til bageste bugvæg,mesenterial,das Dünndarmgekröse betreffend,mesentérico,relativo al mesenterio,mésentérique,relatif au repli du péritoine,mesenterico,relativo alla cavità addominale,mesentericus,met betrekking tot het darmscheil
1061,metabolism,metabolism,metabolismo,conjunto de reacções bioquímicas dentro do organismo,metabolisme,stofskifte,Metabolismus,1. Umwandlung 2. Stoffwechsel,metabolismo,conjunto de reacciones bioquímicas dentro del organismo,métabolisme,transformations qui s'accomplissent dans l'organisme,metabolismo,complesso dei processi fisici e chimici dell'organismo,metabolisme,stofwisseling
1062,metabolite,substance produced by metabolism,metabolito,substância derivada de um medicamento dentro do organismo,metabolit,stofskifteprodukt,Metabolit,jeder im biol. Stoffwechsel umgesetzte Stoff,metabolito,sustancia derivada de un medicamento dentro del organismo,métabolite,substance organique qui participe au métabolisme,metabolita,prodotto terminale del metabolismo,metaboliet,stofwisselprodukt
1063,metabolization,processing,metabolização,transformação de uma substância noutra durante o metabolismo,stofskifte,omsætning,Metabolisierung,Verstoffwechslung,metabolización,transformación de una sustancia en otra durante el transcurso del metabolismo,,,metabolizzazione,processo di trasformazione mediante mutamenti e rinnovi,metabolisatie,omzetting in de stofwisseling
1064,metaplasia,abnormal tissue change,metaplasia,processo de transformação de células ou tecidos noutros distintos,metaplasi,omdannelse af et væv til et andet nærtbeslægtet væv,Metaplasie,Umwandlung einer Gewebsart in eine andere,metaplasia,proceso de transformación de células o tejidos en otros distintos,métaplasie,transformation d'un tissu différencié en un autre tissu,metaplasia,trasformazione di un tessuto in un altro,metaplasie,weefselvormverandering
1065,metastasis,disease site transfer,metastase,migração de doença;aparecimento de um cancro à distância,metastase,forplantning og udvikling af celler på steder;hvortil de er ført ad lymfe eller blodstrømmen,Metastase,Verschleppung von Zellen einer Primärgeschwulst,metástasis,aparición de un cáncer a distancia,métastase,tumeur maligne secondaire,metastasi,riproduzione a distanza di processo infettivo o tumorale,metastase,uitzaaiing
1066,meteorism,abdominal gas,meteorismo,timpanismo;timpanite;dilatação do ventre,meteorisme,luftudspiling af tarmene,Meteorismus,Blähsucht,meteorismo,presencia de gas en el vientre o intestino,météorisme,accumulation d'air dans l'estomac ou les intestins,meteorismo,contenuto eccessivo di gas nell'intestino,meteorisme,windzucht
1067,methaemoglobinaemia,methaemoglobinaemia,metemoglobinemia,presença de metemoglobina no sangue de que resulta a cianose,methæmoglobinæmi,tilstedeværelse af jernholdigt rødt farvestof i blodet (medfører blåfarvning,Methämoglobinämie,Vermehrung von Methämoglobin im Blut,metahemoglobinemia,presencia de metahemoglobina en la sangre que da por resultado cianosis,méthémoglobinémie,présence;d'hémoglobine oxydée,metemoglobinemia,malattia di ossidazione che ostacola la respirazione,methemoglobinemie,aandoening van de bloedkleurstof
1068,metrorrhagia,breakthrough bleeding,metrorragia,hemorragia sanguínea uterina não menstrual,metroragi,blødning uden for menstruationsperiode,Metrorrhagie,außerhalb der Menstruation auftretende Gebärmutterblu,metrorragia,pérdida sanguínea uterina que no sea menstrual,métrorragie,hémorragie de l'utérus,metrorragia,irregolare perdita di sangue dall'utero,metrorragie,onregelmatige baarmoederbloeding
1069,micelle,micelld,mecela,pequenos fragmentos presentes em dispersão coloidal,miceller,samling af fedtmolekyler,Micelle,Molekelaggregat begrenzt quellbarer Körper,micela,pequeños fragmentos presentes en una dispersión coloidal,micelle,particule en suspension dans une solution colloïdale,micella,particella colloidale formato da piccole molecole,micel,kleine vetdruppel
1070,microbiological,microbiological,microbiológico,relativo à ciência dos microrganismos,mikrobiologisk,mikrobiologisk;om mikroskopisk synlige;levende væsener,mikrobiologisch,Lehre der Mikroorganismen betreffend,microbiológico,relativo a la ciencia de los microorganismos,microbiologique,microbiologique,microbiologico,microbiologico,microbiologisch,met betrekking tot de kleinste levende wezens
1071,microcirculation,blood flow in fine vessels,microcirculação,fluxo de sangue em todo o sistema de vasos minúsculos,mikrocirkulation,blodets bevægelse i de mindste blodkar,Mikrozirkulation,Blutbewegung in den Kapillaren,microcirculación,flujo de sangre en todo el sistema de vasos minúsculos,,,microcircolazione,circolazione del sangue nei piccoli vasi,microcirculatie,bloedsomloop door de kleinste slagaders
1072,microgram,millionth of a gram,micrograma,a milionésima parte de um grama,mikrogram,mikrogram;en milliontedel af et gram,Mikrogramm,ein millionstel Gramm,microgramo,la millonésima parte de un gramo,microgramme,millième de milligramme,microgrammo,microgrammo,microgram,miljoenste gram
1073,micrography,microscope examination,micrografia,fotografia como através do microscópio;análise com o microscópio,mikroskopering,undersøgelse med mikroskop,Mikrographie,Kleinheit der Schrift,micrografía,fotografía como a través del microscopio;examen con el microscopio,micrographie,technique de microscopie,micrografia,esame con microscopio,micrografie,zeer klein handschrift
1074,micronize,reduce to fine powder,micronizar,reduzir a pó fino,mikronisere,reducere til pulver,mikronisieren,Zerkleinern von Arzneistoffen,micronizar,reducir a polvo fino,microniser,microniser,micronizzare,ridurre a fine polvere,microniseren,verpulveren
1075,microorganism,microorganism,microrganismo,micróbio,mikroorganisme,mikrobe;organisme;som kun kan ses i mikroskop,Mikroorganismus,mikroskopisch kleiner Organismus,microorganismo,microbio,micro-organisme,micro-organisme,microrganismo,organismo piccolissimo,micro-organisme,kleinste levend wezen
1076,microscopic,microscopic,microscópico,extremamente pequeno,mikroskopisk,mikroskopisk;kun synlig i mikroskop,mikroskopisch,mikroskopisch,microscópico,de tamaño extremadamente pequeño;perteneciente a la microscopía,microscopique,microscopique,microscopico,piccolissimo,microscopisch,voor het blote oog onzichtbaar
1077,microsomal,microsomal,microssómico,derivado dos microssomas,mikrosomal,hørende til mikrosomer,mikrosomal,von Mikrosomen stammend;M betreffend,microsomal,procedente de los microsomas,,,microsomiale,relativo ai microsomi: frammenti di cellule,microsomaal; microsomiaal,met betrekking tot de kleinste deeltjes in een cel
1078,microsporum,type of fungus,microspório,género de fungos ascomicetes;parasitas no homem,mikrosporum,svampeart;som angriber hud eller hår,Mikrosporum,spindelförmige Pilzgattung,microsporum,,microsporon,sorte de champignon,microsporum,tipo di fungo dei capelli e della pelle,microsporum,huidschimmel met kleine sporen
1079,microvillus,bump on a cell,microvilosidade,forma de velosidade à superfície de uma célula,mikrovilli,børstesøm,Mikrovillus,fingerförmige Ausstülûngen der Plasmaoberfläche,microvellosidad,forma de vellosidad sobre la superficie de una célula,,,microvillo,piccola esternazione di una superficie di cellula,microvillus,bijzonder kleine uitstulping van de celmembraan
1080,micturition,urination,micção,acção de urinar;urinação,micturitio,vandladning,Miktion,natürliche Harnentleerung aus der Blase,micción,acción de orinar,miction,écoulement de l'urine,minzione,il passaggio e il fatto di urinare,mictie,waterlozing
1081,migraine,migraine,cefaleia,dor de cabeça;enxaqueca,migræne,migræne;arvelig ensidig hovedpine med synsforstyrrelse;kvalme ogeller opkastning,Migräne,Migräne,migraña,jaqueca,migraine,migraine,emicrania,mal di testa periodico,migraine,schele hoofdpijn
1082,mime,facial expression,mímica,expressão de ideias ou pensamentos por meio de gestos,mimik,mimik,Mimik,Mimik,mímica,expresión por medio de gestos;de ideas o pensamientos,mimique,mimique,mimo,mimo,mimiek,gezichtsuitdrukking
1083,mineralization,mineralization,mineralização,incorporação de substâncias minerais por meio de tecidos do organismo,mineralisering,aflejring af kalksalte,Mineralisation,1. Abbau organischer Stoffe zu anorganischen 2. Einbau,mineralización,incorporación de sustancias minerales por los tejidos del organismo,minéralisation,transformation d'une substance organique en substance minérale,mineralizzazione,l'azione del mineralizzaremineralizzazione,mineralisatie,afzetting van kalkzouten
1084,mineralocorticoid,hormones,mineralocorticóide,hormonas mineralocorticosteróides,mineralokortikoid,binyrebarksteroid  med virkning på saltstofskiftet,Mineralocorticoid,Steroidhormone der Nebennierenrinde;die auf den Mine,mineralocorticoide,mineralocorticoide,minéralocorticoïde,nom d'ensemble des hormones corticosurrénales,mineralcorticoide,sostanze causanti ritenzione  e perdite,mineralocorticoïde,hormoon uit de bijnierschors
1085,minimal,minimal,mínimo,mínimo;ínfimo,minimal,minimal,minimal,minimal,mínimo,la cantidad más pequeña o el límite más pequeño,minimal,minimal,minimale,minimo,minimaal,het kleinst mogelijk
1086,minimize,minimize,minimizar,reduzir;limitar,minimalisere,formindske,minimieren,auf ein Minimum senken,minimizar,minimizar,minimiser,minimiser,minimizzare,ridurre al minimo,minimaliseren,als onbeduidend voorstellen
1087,minimum,minimum,mínimo,mínimo;limite inferior,minimum,minimum,Minimum,Minimum,mínimo,mínimo,minimum,minimum,minimo,minimo,minimum,kleinst mogelijke hoeveelheid
1088,miotic,eye drops,miótico,relativo à divisão dos cromossomas e replicação das células,miotiskmiotika,pupilforsnævrende,miotisch,pupillenverengend,miótico,agente que produce contracción pupilar,myotique,relatif au;provoquant le resserrement de la pupille,miotico,caratterizzato dalla contrazione della pupilla,miotisch,wat de pupil vernauwt
1089,miscible,mixable,miscível,que se pode misturar,miscibel,blandbar,-,mischbar,miscible,que es capaz de ser mezclado,miscible,qui peut se mélanger,miscibile,che può essere mescolato,mengbaar,wat kan worden gemengd
1090,mitosis,cell division,mitose,divisão cinética;cariocinese;divisão celular indirecta,mitose,den almindelige celledeling,Mitose,indirekte Kernteilung,mitosis,división de una célula,mitose,division cellulaire,mitosi,processo di riproduzione della cellula,mitose,gewone celdeling
1091,mobility,mobility,mobilidade,possibilidade de realizar movimentos activos;por ex.;uma articulação,mobilitet,bevægelighed,Mobilität,Beweglichkeit,movilidad,posibilidad de realizar movimientos activos;p.ej.;una articulación,mobilité,mobilité,mobilità,mobilità,mobiliteit,beweeglijkheid
1092,mobilization,mobilization,mobilização,processo de tornar móvel uma parte fixa ou uma substância presa,mobilisation,handling;der bringer bevægelighed,Mobilisierung,Mobilisierung,movilización,proceso de volver móvil una parte fija o una sustancia detenida,mobilisation,traitement qui consiste à favoriser la mobilité,mobilizzazione,mobilizzazione,mobilisatie,beweeglijk maken
1093,modify,modify,modificar,alterar,modificere,modificere,modifizieren,verändern,modificar,modificar,modifier,modifier,modificare,modificare,modificeren,wijzigen
1094,modulator,modulator,modulador,substância reguladora,modulator,modulator,Modulator,Gerät zum Modulieren,modulador,sustancia reguladora,modulateur,modulateur,modulatore,che consente di adattare,modulator,plaatselijke stop in de weefsels
1095,molecular,molecular,molecular,relativo às moléculas ou composto por elas,molekylær,molekylær-,molekular,die Moleküle betreffend,molecular,relativo a las moléculas o compuesto por ellas,moléculaire,moléculaire,molecolare,relativo a molecole,moleculair,bestaande uit moleculen
1096,monitoring,monitoring,vigilância,controlo ou supervisão com ajuda de um monitor,monitorering,overvågning,Monitoring,Kontrolle mit Hilfe eines Monitors,monitorización,control o supervisión con ayuda de un monitor,monitorage,technique de surveillance,monitoraggio,controllo,monitoring,bewaking
1097,monocomponent,one molecule drug,monocomponente,de um só componente,monokomponent,lægemiddel med én vigtig bestanddel,Monopräparat,Medikament;das einen Wirkstatt enthält,,de un solo componente,composant unique,composant unique,monocomponente,componente unico,monocomponent,geneesmiddel zonder nevenbestanddelen
1098,mononucleosis,glandular fever,mononucleose,mononucleose,mononukleose,mononukleose,Mononukleose,Drüsenfieber,mononucleosis,mononucleosis,mononucléose,mononucléose,mononucleosi,malattia da virus,mononucleose,vermeerdering van eenkernige witte bloedlichaampjes
1099,monotherapy,one drug therapy,monoterapia,terapia com um medicamento de cada vez,monoterapi,behandling hvorunder kun et lægemiddel anvendes,Monotherapie,Behandlung mit nur einem Medikament,,terapia con un solo medicamente a la vez,monovalente,thérapie qui recourt à un seul médicament,monoterapia,terapia con un solo farmaco,monotherapie,behandeling met één geneesmiddel
1100,morbidity,diseased state,morbidez,taxa de doentes numa população,morbiditet,sygelighed,Morbidität,Erkrankungsrate,morbididad,tasa de enfermos en una población,morbilità,frequenza di una malattia nella popolazione,morbiditeit,ziektecijfer
1101,morphinomimetic,simulating effects of morphine,morfinomimético,produtos com efeito idêntico ao da morfina,TU,TU,morphinagonistisch,wie Morphin wirkend,morfinomimético,productos que tienen un efecto parecido al de la morfina,morphinomimétique,qui a la même action que la morphine,morfinomimetico,simulazione della;o derivante dalla;morfina,morfinomimeticum,stof die als morfine werkt
1102,mortality,mortality,mortalidade,taxa de falecimentos de uma população,mortalitet,dødelighed,Mortalität,Sterblichkeit,mortalidad,tasa de muertes en una población,mortalité,nombre de décès par an,mortalità,mortalità,mortaliteit,sterftecijfer
1103,motility,ability to move spontaneously,motilidade,faculdade de se mover espontaneamente,motilitet,evnen til at udføre vilkårlige bevægelser,Motilität,Bewegungsvermögen,motilidad,facultad de moverse espontáneamente,motilité,mouvements propres à un organe;à un système,motilità,capacità di spostarsi spontaneamente,motiliteit,vermogen om spontaan te bewegen
1104,motor,motor,motor,que move;motriz,motor,bevægemuskel eller -nerve,motorisch,motorisch,motor,que mueve,moteur,1) qui donne le mouvement - 2) qui se rapporte au mouvement,motorio,muscolo;nervo o centro che produce movimenti,motorisch,met betrekking tot beweging
1105,mucociliary,mucous membrane and hair-related,mucociliar,mucociliar,mucociliær,relateret til slimhinder;øjenvipper og fimrehår,mukoziliär,,,,,,muscolo; nervo o centro che produce movimenti,che interessa la membrana del muco,mucociliair,met betrekking tot slijmvlies en trilharen
1106,mucocutaneous,mucous membrane and skin-related,mucocutâneo,relativo às mucosas e à pele ou que as afecta,mucokutan,relateret til hud og slimhinder,mukokutan,Haut- und Schleimhaut betreffend,mucocutáneo,relativo a las mucosas y a la piel o que las afecta,muco-cutané,relatif à une muqueuse et à la peau,mucocutaneo,che interessa la membrana del muco e la pelle,mucocutaan,met betrekking tot huid en slijmvliezen
